Card	Time1	Time2	Time3
2500	100	100	100
5000	100	100	100
7500	100	100	0
10000	100	0	100
12500	0	100	0
15000	100	100	100
17500	0	100	0
20000	0	100	0
22500	0	100	0
25000	100	0	100
27500	100	100	0
30000	100	0	0
32500	0	100	100
35000	100	0	100
37500	100	100	100
40000	0	100	100
42500	100	0	100
45000	0	100	0
47500	100	0	100
50000	100	100	0
52500	0	0	100
55000	0	100	100
57500	0	0	100
60000	0	100	100
62500	100	100	100
65000	100	100	0
67500	100	0	0
70000	0	100	0
72500	0	100	0
75000	100	0	0
77500	0	100	100
80000	0	100	100
82500	100	100	100
85000	100	0	100
87500	0	200	0
90000	100	0	100
92500	0	100	0
95000	0	100	0
97500	0	100	0
100000	100	0	0
102500	100	0	0
105000	100	100	100
107500	100	100	0
110000	0	100	0
112500	0	100	0
115000	100	100	100
117500	100	100	0
120000	100	0	0
122500	0	100	100
125000	0	100	100
127500	0	0	100
130000	0	0	100
132500	100	100	0
135000	100	100	0
137500	100	200	0
140000	0	100	100
142500	100	100	0
145000	100	100	0
147500	0	100	0
150000	0	0	100
152500	100	100	0
155000	0	100	100
157500	100	100	100
160000	100	0	100
162500	100	0	100
165000	100	100	0
167500	100	100	0
170000	0	0	100
172500	0	100	0
175000	0	100	0
177500	100	100	0
180000	100	0	100
182500	100	0	100
185000	100	100	100
187500	100	0	100
190000	0	100	0
192500	100	100	100
195000	100	100	0
197500	100	100	0
200000	0	100	100
202500	100	100	0
205000	100	0	0
207500	100	100	0
210000	100	0	0
212500	100	100	0
215000	100	200	100
217500	100	0	100
220000	0	0	100
222500	100	100	100
225000	0	100	0
227500	0	100	0
230000	100	0	100
232500	100	100	0
235000	0	100	100
237500	100	0	0
240000	100	100	0
242500	0	100	0
245000	100	0	100
247500	0	100	100
250000	100	0	100
252500	0	0	100
255000	200	0	100
257500	100	100	100
260000	100	0	100
262500	100	0	0
265000	100	100	100
267500	100	0	100
270000	0	0	100
272500	100	100	100
275000	100	100	100
277500	0	100	0
280000	100	0	0
282500	100	0	0
285000	100	0	100
287500	100	0	0
290000	100	100	100
292500	0	100	100
295000	100	100	100
297500	0	100	100
300000	100	100	100
302500	100	0	100
305000	0	0	100
307500	100	100	100
310000	0	100	100
312500	0	100	100
315000	0	100	0
317500	0	100	0
320000	100	100	0
322500	0	100	100
325000	100	100	100
327500	0	100	100
330000	0	0	100
332500	100	0	100
335000	100	100	0
337500	0	100	0
340000	0	100	100
342500	100	100	0
345000	100	100	0
347500	100	0	100
350000	0	0	100
352500	0	100	0
355000	0	0	100
357500	100	100	0
360000	0	100	0
362500	100	100	100
365000	100	0	0
367500	0	100	100
370000	0	100	0
372500	0	100	0
375000	100	100	0
377500	100	200	100
380000	0	100	0
382500	100	0	0
385000	100	0	100
387500	100	0	0
390000	100	100	0
392500	100	0	100
395000	100	100	100
397500	100	0	0
400000	100	0	100
402500	100	0	100
405000	100	100	100
407500	100	200	100
410000	100	100	100
412500	100	0	100
415000	0	0	100
417500	0	100	100
420000	100	100	100
422500	100	0	100
425000	100	0	100
427500	0	100	100
430000	100	100	200
432500	100	0	100
435000	0	100	100
437500	0	100	100
440000	0	0	100
442500	100	0	100
445000	0	100	0
447500	100	0	100
450000	0	0	100
452500	0	100	100
455000	100	100	0
457500	0	100	100
460000	100	100	100
462500	0	100	0
465000	100	0	100
467500	100	100	100
470000	100	0	0
472500	0	100	100
475000	100	100	100
477500	100	0	100
480000	100	100	100
482500	100	100	100
485000	100	0	100
487500	100	100	100
490000	100	100	100
492500	100	0	0
495000	100	100	100
497500	100	300	100
500000	100	100	0
502500	100	100	100
505000	100	0	0
507500	100	100	0
510000	100	0	100
512500	0	100	100
515000	200	0	0
517500	100	100	100
520000	0	100	100
522500	100	100	0
525000	0	100	0
527500	100	100	100
530000	100	100	100
532500	100	100	100
535000	100	0	100
537500	0	0	100
540000	100	100	0
542500	0	100	100
545000	100	100	0
547500	0	100	0
550000	100	0	0
552500	100	100	100
555000	100	0	0
557500	0	100	100
560000	100	0	100
562500	0	0	100
565000	100	100	0
567500	100	0	100
570000	100	100	100
572500	100	0	100
575000	100	0	0
577500	100	0	100
580000	100	100	0
582500	100	0	100
585000	100	100	100
587500	0	100	100
590000	100	100	100
592500	100	100	0
595000	100	100	100
597500	100	0	0
600000	100	0	0
602500	100	100	100
605000	0	0	100
607500	100	0	0
610000	100	100	0
612500	100	100	100
615000	100	0	100
617500	100	100	100
620000	100	100	100
622500	0	0	100
625000	100	100	0
627500	100	0	0
630000	100	0	100
632500	100	100	0
635000	0	100	0
637500	100	100	0
640000	100	100	100
642500	0	100	100
645000	100	100	100
647500	0	100	0
650000	100	0	100
652500	100	100	100
655000	100	0	100
657500	100	0	0
660000	0	100	100
662500	100	100	100
665000	0	200	100
667500	200	100	100
670000	100	100	100
672500	0	100	100
675000	100	100	100
677500	100	0	100
680000	100	0	100
682500	100	0	0
685000	100	100	100
687500	100	0	200
690000	100	200	100
692500	100	100	100
695000	0	100	0
697500	100	100	100
700000	100	0	100
702500	100	0	0
705000	100	100	0
707500	100	100	0
710000	100	100	0
712500	100	100	100
715000	0	0	100
717500	100	0	100
720000	0	100	0
722500	100	100	100
725000	100	0	100
727500	100	0	100
730000	100	200	0
732500	100	100	100
735000	0	100	0
737500	0	100	100
740000	0	100	0
742500	0	100	0
745000	100	200	100
747500	100	100	100
750000	100	0	100
752500	100	0	100
755000	0	100	100
757500	0	100	0
760000	100	100	100
762500	100	0	100
765000	100	100	0
767500	100	100	0
770000	100	100	100
772500	0	100	0
775000	100	100	100
777500	100	100	0
780000	100	100	100
782500	300	100	100
785000	100	100	0
787500	100	100	100
790000	0	100	100
792500	0	100	100
795000	0	0	100
797500	100	0	0
800000	100	0	0
802500	0	100	100
805000	0	100	0
807500	100	0	100
810000	100	100	0
812500	0	100	500
815000	0	100	100
817500	100	100	100
820000	100	100	100
822500	0	100	0
825000	0	100	0
827500	0	100	0
830000	0	100	0
832500	100	100	100
835000	0	500	100
837500	0	0	100
840000	0	100	100
842500	0	100	100
845000	100	100	100
847500	100	100	0
850000	100	0	100
852500	100	100	0
855000	100	100	100
857500	100	100	100
860000	0	200	100
862500	100	100	100
865000	100	100	100
867500	100	100	100
870000	100	0	0
872500	0	0	100
875000	100	0	100
877500	0	100	0
880000	100	100	100
882500	0	0	300
885000	100	0	100
887500	0	0	100
890000	100	100	0
892500	100	0	100
895000	0	100	100
897500	100	0	100
900000	200	0	0
902500	0	100	0
905000	100	0	0
907500	100	0	0
910000	100	100	0
912500	100	0	0
915000	100	100	100
917500	100	100	0
920000	100	0	100
922500	0	100	100
925000	0	100	0
927500	100	100	100
930000	100	0	0
932500	100	100	100
935000	100	100	100
937500	100	100	0
940000	100	0	100
942500	100	100	100
945000	100	0	100
947500	0	100	0
950000	100	100	0
952500	0	100	0
955000	100	0	0
957500	0	100	0
960000	0	100	100
962500	100	100	0
965000	100	100	0
967500	100	100	0
970000	100	100	100
972500	100	100	100
975000	100	100	200
977500	100	0	100
980000	200	100	100
982500	0	0	100
985000	100	100	100
987500	100	100	100
990000	100	0	100
992500	100	100	100
995000	100	100	0
997500	200	0	0
1000000	100	200	0
1002500	100	100	100
1005000	0	0	100
1007500	100	0	100
1010000	0	100	100
1012500	100	100	100
1015000	100	0	0
1017500	0	0	100
1020000	100	100	100
1022500	100	100	100
1025000	100	100	100
1027500	0	100	100
1030000	0	100	100
1032500	0	100	100
1035000	100	0	100
1037500	100	100	0
1040000	0	0	100
1042500	100	0	300
1045000	100	100	100
1047500	100	100	200
1050000	0	100	100
1052500	100	100	100
1055000	100	0	100
1057500	100	100	100
1060000	100	0	100
1062500	100	0	0
1065000	100	100	0
1067500	0	0	100
1070000	100	0	0
1072500	100	100	100
1075000	100	100	100
1077500	100	0	0
1080000	100	100	100
1082500	0	100	100
1085000	100	100	0
1087500	100	0	100
1090000	200	100	300
1092500	200	0	100
1095000	100	100	100
1097500	100	100	100
1100000	0	0	100
1102500	100	0	100
1105000	100	100	100
1107500	0	100	500
1110000	0	100	100
1112500	100	100	0
1115000	100	0	0
1117500	100	100	0
1120000	100	100	0
1122500	100	100	100
1125000	100	100	0
1127500	100	0	0
1130000	100	100	100
1132500	100	100	100
1135000	100	0	100
1137500	100	200	0
1140000	100	0	0
1142500	0	100	0
1145000	0	100	0
1147500	0	0	100
1150000	0	100	100
1152500	0	100	0
1155000	100	100	0
1157500	100	0	0
1160000	200	100	100
1162500	0	100	100
1165000	0	100	100
1167500	100	200	100
1170000	100	100	0
1172500	100	100	100
1175000	100	0	0
1177500	100	0	100
1180000	100	100	100
1182500	100	200	100
1185000	100	0	100
1187500	100	0	0
1190000	200	0	100
1192500	100	0	100
1195000	100	0	0
1197500	100	100	100
1200000	100	100	0
1202500	100	0	0
1205000	100	0	0
1207500	100	100	100
1210000	100	0	100
1212500	0	100	100
1215000	100	100	0
1217500	0	400	100
1220000	100	100	100
1222500	200	100	100
1225000	100	0	100
1227500	100	100	100
1230000	200	200	0
1232500	0	100	100
1235000	100	100	100
1237500	100	100	100
1240000	0	100	100
1242500	0	100	100
1245000	0	100	100
1247500	100	100	100
1250000	0	100	100
1252500	100	100	0
1255000	0	0	100
1257500	100	100	100
1260000	0	200	100
1262500	0	0	100
1265000	100	100	100
1267500	100	0	100
1270000	100	100	100
1272500	100	100	0
1275000	100	100	100
1277500	100	100	200
1280000	100	100	0
1282500	100	100	0
1285000	100	100	100
1287500	0	0	100
1290000	100	100	100
1292500	0	100	100
1295000	0	0	100
1297500	0	0	100
1300000	100	0	100
1302500	100	0	0
1305000	100	0	100
1307500	100	0	0
1310000	100	100	0
1312500	100	100	0
1315000	0	100	100
1317500	100	100	0
1320000	0	100	100
1322500	200	100	0
1325000	0	100	100
1327500	100	100	0
1330000	100	100	100
1332500	100	0	100
1335000	100	0	200
1337500	0	100	0
1340000	100	100	100
1342500	100	100	0
1345000	100	100	0
1347500	0	0	100
1350000	100	0	100
1352500	100	100	0
1355000	100	100	0
1357500	100	0	0
1360000	100	200	0
1362500	100	0	0
1365000	100	100	0
1367500	0	0	100
1370000	0	0	200
1372500	100	100	0
1375000	100	100	100
1377500	0	100	100
1380000	0	100	100
1382500	200	100	100
1385000	100	0	100
1387500	0	100	0
1390000	100	200	100
1392500	100	0	100
1395000	100	200	100
1397500	100	100	100
1400000	0	100	100
1402500	100	100	100
1405000	100	0	100
1407500	100	0	100
1410000	400	100	100
1412500	100	100	0
1415000	0	100	100
1417500	100	100	0
1420000	100	100	200
1422500	0	100	0
1425000	100	100	100
1427500	100	0	100
1430000	100	0	100
1432500	100	100	100
1435000	100	100	200
1437500	0	100	100
1440000	100	0	100
1442500	100	100	100
1445000	100	100	100
1447500	0	100	100
1450000	100	0	400
1452500	100	100	100
1455000	100	100	100
1457500	100	100	100
1460000	100	100	100
1462500	0	100	0
1465000	100	100	100
1467500	100	100	100
1470000	0	100	100
1472500	0	100	100
1475000	100	0	100
1477500	0	100	100
1480000	100	100	0
1482500	0	0	100
1485000	100	100	200
1487500	100	100	100
1490000	100	200	100
1492500	100	200	0
1495000	100	0	0
1497500	100	100	0
1500000	0	100	200
1502500	100	0	100
1505000	100	100	100
1507500	100	100	100
1510000	100	100	100
1512500	0	100	100
1515000	100	0	100
1517500	0	100	100
1520000	100	0	100
1522500	400	0	300
1525000	0	100	100
1527500	200	100	100
1530000	100	100	100
1532500	0	100	100
1535000	100	100	100
1537500	100	0	100
1540000	100	100	100
1542500	100	100	100
1545000	100	0	100
1547500	100	100	100
1550000	100	100	100
1552500	0	100	400
1555000	0	100	100
1557500	100	100	0
1560000	100	100	100
1562500	200	200	0
1565000	100	100	100
1567500	100	100	100
1570000	0	0	100
1572500	100	0	100
1575000	100	100	100
1577500	100	0	0
1580000	100	100	0
1582500	0	100	0
1585000	100	100	100
1587500	100	100	100
1590000	100	100	100
1592500	0	0	100
1595000	0	100	100
1597500	0	100	200
1600000	100	100	200
1602500	100	0	100
1605000	0	100	0
1607500	100	100	100
1610000	100	100	100
1612500	0	100	100
1615000	100	100	100
1617500	100	200	200
1620000	100	0	100
1622500	0	100	100
1625000	0	100	100
1627500	100	100	100
1630000	100	100	100
1632500	100	0	100
1635000	100	100	100
1637500	100	0	100
1640000	100	100	100
1642500	100	100	100
1645000	100	100	100
1647500	100	100	100
1650000	100	100	100
1652500	100	100	100
1655000	0	100	200
1657500	0	200	0
1660000	100	100	100
1662500	100	0	100
1665000	100	0	0
1667500	100	200	200
1670000	0	0	100
1672500	0	100	100
1675000	100	100	0
1677500	100	100	100
1680000	0	100	0
1682500	100	0	100
1685000	0	300	100
1687500	100	100	100
1690000	100	0	100
1692500	100	100	0
1695000	100	0	0
1697500	100	100	0
1700000	0	0	100
1702500	100	100	100
1705000	200	0	100
1707500	100	100	100
1710000	0	100	0
1712500	100	0	0
1715000	100	100	100
1717500	100	100	100
1720000	100	0	0
1722500	100	0	0
1725000	100	100	100
1727500	0	0	100
1730000	500	100	100
1732500	100	100	0
1735000	200	100	100
1737500	0	100	0
1740000	100	100	100
1742500	200	100	500
1745000	100	100	100
1747500	100	100	100
1750000	100	100	100
1752500	200	100	200
1755000	400	100	0
1757500	0	100	100
1760000	100	100	0
1762500	0	100	100
1765000	100	100	100
1767500	100	100	0
1770000	0	100	100
1772500	100	0	0
1775000	100	100	200
1777500	100	100	100
1780000	0	100	0
1782500	100	0	0
1785000	100	100	100
1787500	100	100	0
1790000	400	100	0
1792500	200	100	100
1795000	0	0	100
1797500	100	200	100
1800000	0	0	200
1802500	100	100	100
1805000	100	100	0
1807500	0	100	0
1810000	100	100	200
1812500	0	100	100
1815000	0	100	100
1817500	100	100	0
1820000	100	100	100
1822500	0	100	100
1825000	100	100	300
1827500	100	100	100
1830000	100	100	100
1832500	100	100	100
1835000	100	100	0
1837500	100	100	100
1840000	100	0	100
1842500	100	100	100
1845000	100	100	0
1847500	100	100	100
1850000	200	100	100
1852500	0	100	100
1855000	100	100	100
1857500	100	100	100
1860000	100	100	100
1862500	100	0	0
1865000	500	100	200
1867500	200	100	100
1870000	100	100	100
1872500	100	100	0
1875000	100	100	0
1877500	100	100	100
1880000	0	0	100
1882500	200	400	100
1885000	100	100	100
1887500	200	200	0
1890000	100	100	100
1892500	100	100	100
1895000	100	100	100
1897500	100	200	100
1900000	0	0	100
1902500	0	0	100
1905000	100	0	300
1907500	400	100	100
1910000	100	100	100
1912500	100	100	100
1915000	100	100	100
1917500	200	0	100
1920000	0	100	100
1922500	100	100	100
1925000	200	100	200
1927500	0	100	200
1930000	100	400	0
1932500	100	0	100
1935000	100	100	100
1937500	0	100	100
1940000	100	200	100
1942500	200	100	100
1945000	200	100	200
1947500	100	200	100
1950000	100	100	0
1952500	100	200	0
1955000	100	100	100
1957500	400	100	100
1960000	100	100	0
1962500	100	100	0
1965000	100	100	100
1967500	100	200	100
1970000	100	500	100
1972500	200	100	100
1975000	100	100	100
1977500	100	100	100
1980000	100	100	100
1982500	200	0	100
1985000	200	100	100
1987500	100	100	100
1990000	400	100	100
1992500	100	100	100
1995000	100	100	100
1997500	100	200	100
2000000	100	100	100
